District,Crop,Price Date,Crop Price (Rs per quintal)
Ariyalur,Banana,Jan-15,1830.0
Ariyalur,Banana,Jan-15,1820.0
Ariyalur,Banana,Feb-15,1730.0
Ariyalur,Banana,Mar-15,1780.0
Ariyalur,Banana,Apr-15,1900.0
Ariyalur,Banana,May-15,1850.0
Ariyalur,Banana,Jun-15,1845.0
Ariyalur,Banana,Jun-15,1875.0
Ariyalur,Banana,Jul-15,1850.0
Ariyalur,Banana,Aug-15,1890.0
Ariyalur,Banana,Sep-15,1710.0
Ariyalur,Banana,Oct-15,1750.0
Ariyalur,Banana,Oct-15,1715.0
Ariyalur,Banana,Nov-15,1725.0
Ariyalur,Banana,Dec-15,1730.0
Ariyalur,Banana,Jan-16,1810.0
Ariyalur,Banana,Feb-16,1765.0
Ariyalur,Banana,Mar-16,1835.0
Ariyalur,Banana,Mar-16,1830.0
Ariyalur,Banana,Apr-16,1870.0
Ariyalur,Banana,May-16,1840.0
Ariyalur,Banana,Jun-16,1800.0
Ariyalur,Banana,Jul-16,1730.0
Ariyalur,Banana,Aug-16,1830.0
Ariyalur,Banana,Sep-16,1765.0
Ariyalur,Banana,Oct-16,1820.0
Ariyalur,Banana,Oct-16,1835.0
Ariyalur,Banana,Nov-16,1805.0
Ariyalur,Banana,Dec-16,1755.0
Ariyalur,Banana,Jan-17,1710.0
Ariyalur,Banana,Feb-17,1860.0
Ariyalur,Banana,Feb-17,1860.0
Ariyalur,Banana,Mar-17,1740.0
Ariyalur,Banana,Apr-17,1765.0
Ariyalur,Banana,May-17,1870.0
Ariyalur,Banana,Jun-17,1760.0
Ariyalur,Banana,Jul-17,1735.0
Ariyalur,Banana,Jul-17,1830.0
Ariyalur,Banana,Aug-17,1800.0
Ariyalur,Banana,Sep-17,1850.0
Ariyalur,Banana,Oct-17,1810.0
Ariyalur,Banana,Nov-17,1830.0
Ariyalur,Banana,Nov-17,1735.0
Ariyalur,Banana,Dec-17,1845.0
Ariyalur,Banana,Jan-18,1755.0
Ariyalur,Banana,Feb-18,1750.0
Ariyalur,Banana,Mar-18,1900.0
Ariyalur,Banana,Apr-18,1825.0
Ariyalur,Banana,May-18,1720.0
Ariyalur,Banana,May-18,1890.0
Ariyalur,Banana,Jun-18,1860.0
Ariyalur,Banana,Jul-18,1840.0
Ariyalur,Banana,Aug-18,1850.0
Ariyalur,Banana,Sep-18,1780.0
Ariyalur,Banana,Oct-18,1755.0
Ariyalur,Banana,Nov-18,1810.0
Ariyalur,Banana,Dec-18,1870.0
Ariyalur,Banana,Jan-19,1770.0
Ariyalur,Banana,Mar-19,1765.0
Ariyalur,Banana,Apr-19,1875.0
Ariyalur,Banana,May-19,1790.0
Ariyalur,Banana,Jun-19,1725.0
Ariyalur,Banana,Jul-19,1745.0
Ariyalur,Banana,Sep-19,1870.0
Ariyalur,Banana,Oct-19,1770.0
